Graph Unit,Litres

,The University of Melbourne Sport Centre,The University of Melbourne Sport Pavilion,The University of Melbourne Sports oval
Thursday 17/03/2016 05:00:00 PM,0,0,0
Thursday 17/03/2016 05:15:00 PM,0,0,0
Thursday 17/03/2016 05:30:00 PM,0,10,0
Thursday 17/03/2016 05:45:00 PM,0,20,0
Thursday 17/03/2016 06:00:00 PM,0,10,0
Thursday 17/03/2016 06:15:00 PM,0,0,0
Thursday 17/03/2016 06:30:00 PM,0,30,0
Thursday 17/03/2016 06:45:00 PM,0,20,0
Thursday 17/03/2016 07:00:00 PM,0,10,0
Thursday 17/03/2016 07:15:00 PM,0,10,0
Thursday 17/03/2016 07:30:00 PM,0,0,0
Thursday 17/03/2016 07:45:00 PM,0,10,0
Thursday 17/03/2016 08:00:00 PM,0,0,0
Thursday 17/03/2016 08:15:00 PM,0,90,0
Thursday 17/03/2016 08:30:00 PM,0,0,0
Thursday 17/03/2016 08:45:00 PM,0,0,0
Thursday 17/03/2016 09:00:00 PM,0,0,0
Thursday 17/03/2016 09:15:00 PM,0,0,0
Thursday 17/03/2016 09:30:00 PM,0,0,0
Thursday 17/03/2016 09:45:00 PM,0,0,0
Thursday 17/03/2016 10:00:00 PM,0,0,0
Thursday 17/03/2016 10:15:00 PM,0,0,0
Thursday 17/03/2016 10:30:00 PM,0,0,0
Thursday 17/03/2016 10:45:00 PM,0,0,0
Thursday 17/03/2016 11:00:00 PM,0,0,0
Thursday 17/03/2016 11:15:00 PM,0,0,0
Thursday 17/03/2016 11:30:00 PM,0,0,0
Thursday 17/03/2016 11:45:00 PM,0,0,0
Friday 18/03/2016 12:00:00 AM,0,0,0
Friday 18/03/2016 12:15:00 AM,0,0,0
Friday 18/03/2016 12:30:00 AM,0,0,0
Friday 18/03/2016 12:45:00 AM,0,10,0
Friday 18/03/2016 01:00:00 AM,0,0,0
Friday 18/03/2016 01:15:00 AM,0,0,0
Friday 18/03/2016 01:30:00 AM,0,0,0
Friday 18/03/2016 01:45:00 AM,0,0,0
Friday 18/03/2016 02:00:00 AM,0,0,0
Friday 18/03/2016 02:15:00 AM,0,0,10
Friday 18/03/2016 02:30:00 AM,0,0,0
Friday 18/03/2016 02:45:00 AM,0,0,0
Friday 18/03/2016 03:00:00 AM,0,0,0
Friday 18/03/2016 03:15:00 AM,0,0,0
Friday 18/03/2016 03:30:00 AM,0,0,0
Friday 18/03/2016 03:45:00 AM,0,0,0
Friday 18/03/2016 04:00:00 AM,0,0,0
Friday 18/03/2016 04:15:00 AM,0,0,0
Friday 18/03/2016 04:30:00 AM,0,0,0
Friday 18/03/2016 04:45:00 AM,0,0,0
Friday 18/03/2016 05:00:00 AM,0,0,0
Friday 18/03/2016 05:15:00 AM,0,20,0
Friday 18/03/2016 05:30:00 AM,0,0,0
Friday 18/03/2016 05:45:00 AM,0,20,0
Friday 18/03/2016 06:00:00 AM,0,20,0
Friday 18/03/2016 06:15:00 AM,0,0,0
Friday 18/03/2016 06:30:00 AM,0,30,0
Friday 18/03/2016 06:45:00 AM,0,0,0
Friday 18/03/2016 07:00:00 AM,0,0,0
Friday 18/03/2016 07:15:00 AM,0,0,0
Friday 18/03/2016 07:30:00 AM,0,0,0
Friday 18/03/2016 07:45:00 AM,0,0,0
Friday 18/03/2016 08:00:00 AM,0,0,0
Friday 18/03/2016 08:15:00 AM,0,0,0
Friday 18/03/2016 08:30:00 AM,0,0,0
Friday 18/03/2016 08:45:00 AM,0,0,0
Friday 18/03/2016 09:00:00 AM,0,0,0
Friday 18/03/2016 09:15:00 AM,0,0,0
Friday 18/03/2016 09:30:00 AM,0,0,0
Friday 18/03/2016 09:45:00 AM,0,0,0
Friday 18/03/2016 10:00:00 AM,0,10,0
Friday 18/03/2016 10:15:00 AM,0,0,0
Friday 18/03/2016 10:30:00 AM,0,0,0
Friday 18/03/2016 10:45:00 AM,0,0,0
Friday 18/03/2016 11:00:00 AM,0,0,0
Friday 18/03/2016 11:15:00 AM,0,0,0
Friday 18/03/2016 11:30:00 AM,0,0,0
Friday 18/03/2016 11:45:00 AM,0,0,0
Friday 18/03/2016 12:00:00 PM,0,0,0
Friday 18/03/2016 12:15:00 PM,0,0,0
Friday 18/03/2016 12:30:00 PM,0,0,0
Friday 18/03/2016 12:45:00 PM,0,0,0
Friday 18/03/2016 01:00:00 PM,0,0,0
Friday 18/03/2016 01:15:00 PM,0,0,0
Friday 18/03/2016 01:30:00 PM,0,10,0
Friday 18/03/2016 01:45:00 PM,0,0,0
Friday 18/03/2016 02:00:00 PM,0,10,0
Friday 18/03/2016 02:15:00 PM,0,0,0
Friday 18/03/2016 02:30:00 PM,0,0,0
Friday 18/03/2016 02:45:00 PM,0,0,0
Friday 18/03/2016 03:00:00 PM,0,0,0
Friday 18/03/2016 03:15:00 PM,0,0,0
Friday 18/03/2016 03:30:00 PM,0,0,0
Friday 18/03/2016 03:45:00 PM,0,0,0
Friday 18/03/2016 04:00:00 PM,0,0,0
Friday 18/03/2016 04:15:00 PM,0,0,0
Friday 18/03/2016 04:30:00 PM,0,0,0
Friday 18/03/2016 04:45:00 PM,0,0,0
Friday 18/03/2016 05:00:00 PM,0,0,0
Friday 18/03/2016 05:15:00 PM,0,0,0
Friday 18/03/2016 05:30:00 PM,0,0,0
Friday 18/03/2016 05:45:00 PM,0,80,0
Friday 18/03/2016 06:00:00 PM,0,0,0
Friday 18/03/2016 06:15:00 PM,0,0,0
Friday 18/03/2016 06:30:00 PM,0,0,0
Friday 18/03/2016 06:45:00 PM,0,0,0
Friday 18/03/2016 07:00:00 PM,0,0,0
Friday 18/03/2016 07:15:00 PM,0,0,0
Friday 18/03/2016 07:30:00 PM,0,0,0
Friday 18/03/2016 07:45:00 PM,0,0,0
Friday 18/03/2016 08:00:00 PM,0,0,0
Friday 18/03/2016 08:15:00 PM,0,0,0
Friday 18/03/2016 08:30:00 PM,0,0,0
Friday 18/03/2016 08:45:00 PM,0,0,0
Friday 18/03/2016 09:00:00 PM,0,0,0
Friday 18/03/2016 09:15:00 PM,0,0,0
Friday 18/03/2016 09:30:00 PM,0,0,0
Friday 18/03/2016 09:45:00 PM,0,10,0
Friday 18/03/2016 10:00:00 PM,0,0,0
Friday 18/03/2016 10:15:00 PM,0,0,0
Friday 18/03/2016 10:30:00 PM,0,0,0
Friday 18/03/2016 10:45:00 PM,0,0,0
Friday 18/03/2016 11:00:00 PM,0,0,0
Friday 18/03/2016 11:15:00 PM,0,0,0
Friday 18/03/2016 11:30:00 PM,0,0,0
Friday 18/03/2016 11:45:00 PM,0,0,0
Saturday 19/03/2016 12:00:00 AM,0,0,0
Saturday 19/03/2016 12:15:00 AM,0,0,0
Saturday 19/03/2016 12:30:00 AM,0,0,0
Saturday 19/03/2016 12:45:00 AM,0,0,0
Saturday 19/03/2016 01:00:00 AM,0,0,0
Saturday 19/03/2016 01:15:00 AM,0,0,0
Saturday 19/03/2016 01:30:00 AM,0,0,0
Saturday 19/03/2016 01:45:00 AM,0,0,0
Saturday 19/03/2016 02:00:00 AM,0,0,0
Saturday 19/03/2016 02:15:00 AM,0,0,0
Saturday 19/03/2016 02:30:00 AM,0,0,0
Saturday 19/03/2016 02:45:00 AM,0,0,0
Saturday 19/03/2016 03:00:00 AM,0,0,0
Saturday 19/03/2016 03:15:00 AM,0,0,0
Saturday 19/03/2016 03:30:00 AM,0,0,0
Saturday 19/03/2016 03:45:00 AM,0,0,0
Saturday 19/03/2016 04:00:00 AM,0,0,0
Saturday 19/03/2016 04:15:00 AM,0,0,0
Saturday 19/03/2016 04:30:00 AM,0,0,0
Saturday 19/03/2016 04:45:00 AM,0,0,0
Saturday 19/03/2016 05:00:00 AM,0,0,0
Saturday 19/03/2016 05:15:00 AM,0,0,0
Saturday 19/03/2016 05:30:00 AM,0,0,0
Saturday 19/03/2016 05:45:00 AM,0,0,0
Saturday 19/03/2016 06:00:00 AM,0,0,0
Saturday 19/03/2016 06:15:00 AM,0,0,0
Saturday 19/03/2016 06:30:00 AM,0,0,0
Saturday 19/03/2016 06:45:00 AM,0,0,0
Saturday 19/03/2016 07:00:00 AM,0,0,0
Saturday 19/03/2016 07:15:00 AM,0,0,0
Saturday 19/03/2016 07:30:00 AM,0,0,0
Saturday 19/03/2016 07:45:00 AM,0,0,0
Saturday 19/03/2016 08:00:00 AM,0,0,0
Saturday 19/03/2016 08:15:00 AM,0,0,0
Saturday 19/03/2016 08:30:00 AM,0,10,0
Saturday 19/03/2016 08:45:00 AM,0,0,0
Saturday 19/03/2016 09:00:00 AM,0,0,0
Saturday 19/03/2016 09:15:00 AM,0,10,0
Saturday 19/03/2016 09:30:00 AM,0,30,0
Saturday 19/03/2016 09:45:00 AM,0,20,0
Saturday 19/03/2016 10:00:00 AM,0,20,0
Saturday 19/03/2016 10:15:00 AM,0,10,0
Saturday 19/03/2016 10:30:00 AM,0,10,0
Saturday 19/03/2016 10:45:00 AM,0,0,0
Saturday 19/03/2016 11:00:00 AM,0,20,0
Saturday 19/03/2016 11:15:00 AM,0,30,0
Saturday 19/03/2016 11:30:00 AM,0,20,0
Saturday 19/03/2016 11:45:00 AM,0,10,0
Saturday 19/03/2016 12:00:00 PM,0,10,0
Saturday 19/03/2016 12:15:00 PM,0,10,0
Saturday 19/03/2016 12:30:00 PM,0,40,0
Saturday 19/03/2016 12:45:00 PM,0,30,0
Saturday 19/03/2016 01:00:00 PM,0,20,0
Saturday 19/03/2016 01:15:00 PM,0,20,0
Saturday 19/03/2016 01:30:00 PM,0,20,0
Saturday 19/03/2016 01:45:00 PM,0,20,0
Saturday 19/03/2016 02:00:00 PM,0,10,0
Saturday 19/03/2016 02:15:00 PM,0,40,0
Saturday 19/03/2016 02:30:00 PM,0,10,0
Saturday 19/03/2016 02:45:00 PM,0,20,0
Saturday 19/03/2016 03:00:00 PM,0,40,0
Saturday 19/03/2016 03:15:00 PM,0,10,0
Saturday 19/03/2016 03:30:00 PM,0,40,0
Saturday 19/03/2016 03:45:00 PM,0,20,0
Saturday 19/03/2016 04:00:00 PM,0,20,0
Saturday 19/03/2016 04:15:00 PM,0,40,0
Saturday 19/03/2016 04:30:00 PM,0,50,0
Saturday 19/03/2016 04:45:00 PM,0,0,0
Saturday 19/03/2016 05:00:00 PM,0,20,0
Saturday 19/03/2016 05:15:00 PM,0,20,0
Saturday 19/03/2016 05:30:00 PM,0,10,0
Saturday 19/03/2016 05:45:00 PM,0,10,0
Saturday 19/03/2016 06:00:00 PM,0,0,0
Saturday 19/03/2016 06:15:00 PM,0,110,0
Saturday 19/03/2016 06:30:00 PM,0,80,0
Saturday 19/03/2016 06:45:00 PM,0,170,0
Saturday 19/03/2016 07:00:00 PM,0,60,0
Saturday 19/03/2016 07:15:00 PM,0,0,0
Saturday 19/03/2016 07:30:00 PM,0,0,0
Saturday 19/03/2016 07:45:00 PM,0,0,0
Saturday 19/03/2016 08:00:00 PM,0,0,0
Saturday 19/03/2016 08:15:00 PM,0,0,0
Saturday 19/03/2016 08:30:00 PM,0,0,0
Saturday 19/03/2016 08:45:00 PM,0,0,0
Saturday 19/03/2016 09:00:00 PM,0,0,0
Saturday 19/03/2016 09:15:00 PM,0,0,0
Saturday 19/03/2016 09:30:00 PM,0,20,0
Saturday 19/03/2016 09:45:00 PM,0,10,0
Saturday 19/03/2016 10:00:00 PM,0,0,0
Saturday 19/03/2016 10:15:00 PM,0,40,0
Saturday 19/03/2016 10:30:00 PM,0,10,0
Saturday 19/03/2016 10:45:00 PM,0,0,0
Saturday 19/03/2016 11:00:00 PM,0,0,0
Saturday 19/03/2016 11:15:00 PM,0,0,0
Saturday 19/03/2016 11:30:00 PM,0,0,0
Saturday 19/03/2016 11:45:00 PM,0,0,0
Sunday 20/03/2016 12:00:00 AM,0,0,0
Sunday 20/03/2016 12:15:00 AM,0,0,0
Sunday 20/03/2016 12:30:00 AM,0,0,0
Sunday 20/03/2016 12:45:00 AM,0,0,0
Sunday 20/03/2016 01:00:00 AM,0,0,0
Sunday 20/03/2016 01:15:00 AM,0,0,0
Sunday 20/03/2016 01:30:00 AM,0,0,0
Sunday 20/03/2016 01:45:00 AM,0,0,0
Sunday 20/03/2016 02:00:00 AM,0,0,0
Sunday 20/03/2016 02:15:00 AM,0,0,0
Sunday 20/03/2016 02:30:00 AM,0,0,0
Sunday 20/03/2016 02:45:00 AM,0,0,0
Sunday 20/03/2016 03:00:00 AM,0,0,0
Sunday 20/03/2016 03:15:00 AM,0,0,0
Sunday 20/03/2016 03:30:00 AM,0,0,0
Sunday 20/03/2016 03:45:00 AM,0,0,0
Sunday 20/03/2016 04:00:00 AM,0,0,0
Sunday 20/03/2016 04:15:00 AM,0,0,0
Sunday 20/03/2016 04:30:00 AM,0,0,0
Sunday 20/03/2016 04:45:00 AM,0,0,0
Sunday 20/03/2016 05:00:00 AM,0,0,0
Sunday 20/03/2016 05:15:00 AM,0,0,0
Sunday 20/03/2016 05:30:00 AM,0,10,0
Sunday 20/03/2016 05:45:00 AM,0,0,0
Sunday 20/03/2016 06:00:00 AM,0,0,0
Sunday 20/03/2016 06:15:00 AM,0,0,0
Sunday 20/03/2016 06:30:00 AM,0,0,0
Sunday 20/03/2016 06:45:00 AM,0,10,0
Sunday 20/03/2016 07:00:00 AM,0,0,0
Sunday 20/03/2016 07:15:00 AM,0,0,0
Sunday 20/03/2016 07:30:00 AM,0,0,0
Sunday 20/03/2016 07:45:00 AM,0,10,0
Sunday 20/03/2016 08:00:00 AM,0,0,0
Sunday 20/03/2016 08:15:00 AM,0,0,0
Sunday 20/03/2016 08:30:00 AM,0,0,0
Sunday 20/03/2016 08:45:00 AM,0,10,0
Sunday 20/03/2016 09:00:00 AM,0,30,0
Sunday 20/03/2016 09:15:00 AM,0,10,0
Sunday 20/03/2016 09:30:00 AM,0,60,0
Sunday 20/03/2016 09:45:00 AM,0,40,0
Sunday 20/03/2016 10:00:00 AM,0,10,0
Sunday 20/03/2016 10:15:00 AM,0,0,0
Sunday 20/03/2016 10:30:00 AM,0,50,0
Sunday 20/03/2016 10:45:00 AM,0,10,0
Sunday 20/03/2016 11:00:00 AM,0,40,0
Sunday 20/03/2016 11:15:00 AM,0,10,0
Sunday 20/03/2016 11:30:00 AM,0,10,0
Sunday 20/03/2016 11:45:00 AM,0,10,0
Sunday 20/03/2016 12:00:00 PM,0,10,0
Sunday 20/03/2016 12:15:00 PM,0,20,0
Sunday 20/03/2016 12:30:00 PM,0,30,0
Sunday 20/03/2016 12:45:00 PM,0,80,0
Sunday 20/03/2016 01:00:00 PM,0,70,0
Sunday 20/03/2016 01:15:00 PM,0,30,0
Sunday 20/03/2016 01:30:00 PM,0,30,0
Sunday 20/03/2016 01:45:00 PM,0,40,0
Sunday 20/03/2016 02:00:00 PM,0,30,0
Sunday 20/03/2016 02:15:00 PM,0,60,0
Sunday 20/03/2016 02:30:00 PM,0,30,0
Sunday 20/03/2016 02:45:00 PM,0,30,0
Sunday 20/03/2016 03:00:00 PM,0,20,0
Sunday 20/03/2016 03:15:00 PM,0,60,0
Sunday 20/03/2016 03:30:00 PM,0,110,0
Sunday 20/03/2016 03:45:00 PM,0,20,0
Sunday 20/03/2016 04:00:00 PM,0,30,0
Sunday 20/03/2016 04:15:00 PM,0,40,0
Sunday 20/03/2016 04:30:00 PM,0,50,0
Sunday 20/03/2016 04:45:00 PM,0,40,0
Sunday 20/03/2016 05:00:00 PM,0,50,0
Sunday 20/03/2016 05:15:00 PM,0,20,0
Sunday 20/03/2016 05:30:00 PM,0,10,0
Sunday 20/03/2016 05:45:00 PM,0,10,0
Sunday 20/03/2016 06:00:00 PM,0,50,0
Sunday 20/03/2016 06:15:00 PM,0,100,0
Sunday 20/03/2016 06:30:00 PM,0,130,0
Sunday 20/03/2016 06:45:00 PM,0,60,0
Sunday 20/03/2016 07:00:00 PM,0,60,0
Sunday 20/03/2016 07:15:00 PM,0,10,0
Sunday 20/03/2016 07:30:00 PM,0,0,0
Sunday 20/03/2016 07:45:00 PM,0,60,0
Sunday 20/03/2016 08:00:00 PM,0,230,0
Sunday 20/03/2016 08:15:00 PM,0,70,0
Sunday 20/03/2016 08:30:00 PM,0,0,0
Sunday 20/03/2016 08:45:00 PM,0,0,0
Sunday 20/03/2016 09:00:00 PM,0,0,0
Sunday 20/03/2016 09:15:00 PM,0,0,0
Sunday 20/03/2016 09:30:00 PM,0,0,0
Sunday 20/03/2016 09:45:00 PM,0,0,0
Sunday 20/03/2016 10:00:00 PM,0,0,0
Sunday 20/03/2016 10:15:00 PM,0,0,0
Sunday 20/03/2016 10:30:00 PM,0,0,0
Sunday 20/03/2016 10:45:00 PM,0,0,0
Sunday 20/03/2016 11:00:00 PM,0,0,0
Sunday 20/03/2016 11:15:00 PM,0,0,0
Sunday 20/03/2016 11:30:00 PM,0,0,0
Sunday 20/03/2016 11:45:00 PM,0,0,0
Monday 21/03/2016 12:00:00 AM,0,0,0
Monday 21/03/2016 12:15:00 AM,0,0,0
Monday 21/03/2016 12:30:00 AM,0,0,0
Monday 21/03/2016 12:45:00 AM,0,0,0
Monday 21/03/2016 01:00:00 AM,0,0,0
Monday 21/03/2016 01:15:00 AM,0,0,0
Monday 21/03/2016 01:30:00 AM,0,0,0
Monday 21/03/2016 01:45:00 AM,0,0,0
Monday 21/03/2016 02:00:00 AM,0,0,0
Monday 21/03/2016 02:15:00 AM,0,0,0
Monday 21/03/2016 02:30:00 AM,0,0,0
Monday 21/03/2016 02:45:00 AM,0,0,0
Monday 21/03/2016 03:00:00 AM,0,0,0
Monday 21/03/2016 03:15:00 AM,0,0,0
Monday 21/03/2016 03:30:00 AM,0,0,0
Monday 21/03/2016 03:45:00 AM,0,0,0
Monday 21/03/2016 04:00:00 AM,0,0,0
Monday 21/03/2016 04:15:00 AM,0,0,0
Monday 21/03/2016 04:30:00 AM,0,0,0
Monday 21/03/2016 04:45:00 AM,0,60,0
Monday 21/03/2016 05:00:00 AM,0,0,0
Monday 21/03/2016 05:15:00 AM,0,0,0
Monday 21/03/2016 05:30:00 AM,0,0,0
Monday 21/03/2016 05:45:00 AM,0,0,0
Monday 21/03/2016 06:00:00 AM,0,50,0
Monday 21/03/2016 06:15:00 AM,0,0,0
Monday 21/03/2016 06:30:00 AM,0,0,0
Monday 21/03/2016 06:45:00 AM,0,100,0
Monday 21/03/2016 07:00:00 AM,0,40,0
Monday 21/03/2016 07:15:00 AM,0,20,0
Monday 21/03/2016 07:30:00 AM,0,30,0
Monday 21/03/2016 07:45:00 AM,0,20,0
Monday 21/03/2016 08:00:00 AM,0,90,0
Monday 21/03/2016 08:15:00 AM,0,90,0
Monday 21/03/2016 08:30:00 AM,0,50,10
Monday 21/03/2016 08:45:00 AM,0,50,0
Monday 21/03/2016 09:00:00 AM,0,80,0
Monday 21/03/2016 09:15:00 AM,0,50,0
Monday 21/03/2016 09:30:00 AM,0,10,0
Monday 21/03/2016 09:45:00 AM,0,120,0
Monday 21/03/2016 10:00:00 AM,0,60,0
Monday 21/03/2016 10:15:00 AM,0,100,0
Monday 21/03/2016 10:30:00 AM,0,70,0
Monday 21/03/2016 10:45:00 AM,0,50,0
Monday 21/03/2016 11:00:00 AM,0,40,0
Monday 21/03/2016 11:15:00 AM,0,30,0
Monday 21/03/2016 11:30:00 AM,0,0,0
Monday 21/03/2016 11:45:00 AM,0,0,0
Monday 21/03/2016 12:00:00 PM,0,10,0
Monday 21/03/2016 12:15:00 PM,0,20,0
Monday 21/03/2016 12:30:00 PM,0,10,0
Monday 21/03/2016 12:45:00 PM,0,0,0
Monday 21/03/2016 01:00:00 PM,0,30,0
Monday 21/03/2016 01:15:00 PM,0,80,60
Monday 21/03/2016 01:30:00 PM,0,0,130
Monday 21/03/2016 01:45:00 PM,0,10,130
Monday 21/03/2016 02:00:00 PM,0,20,130
Monday 21/03/2016 02:15:00 PM,0,0,140
Monday 21/03/2016 02:30:00 PM,0,10,60
Monday 21/03/2016 02:45:00 PM,0,0,0
Monday 21/03/2016 03:00:00 PM,0,0,0
Monday 21/03/2016 03:15:00 PM,0,0,0
Monday 21/03/2016 03:30:00 PM,0,0,0
Monday 21/03/2016 03:45:00 PM,0,0,0
Monday 21/03/2016 04:00:00 PM,0,0,0
Monday 21/03/2016 04:15:00 PM,0,0,0
Monday 21/03/2016 04:30:00 PM,0,10,0
Monday 21/03/2016 04:45:00 PM,0,0,0
Monday 21/03/2016 05:00:00 PM,0,0,0
Monday 21/03/2016 05:15:00 PM,0,40,0
Monday 21/03/2016 05:30:00 PM,0,30,0
Monday 21/03/2016 05:45:00 PM,0,10,0
Monday 21/03/2016 06:00:00 PM,0,40,0
Monday 21/03/2016 06:15:00 PM,0,90,0
Monday 21/03/2016 06:30:00 PM,0,30,0
Monday 21/03/2016 06:45:00 PM,0,20,0
Monday 21/03/2016 07:00:00 PM,0,0,0
Monday 21/03/2016 07:15:00 PM,0,10,0
Monday 21/03/2016 07:30:00 PM,0,0,0
Monday 21/03/2016 07:45:00 PM,0,0,0
Monday 21/03/2016 08:00:00 PM,0,20,0
Monday 21/03/2016 08:15:00 PM,0,10,0
Monday 21/03/2016 08:30:00 PM,0,0,0
Monday 21/03/2016 08:45:00 PM,0,0,0
Monday 21/03/2016 09:00:00 PM,0,0,0
Monday 21/03/2016 09:15:00 PM,0,0,0
Monday 21/03/2016 09:30:00 PM,0,0,0
Monday 21/03/2016 09:45:00 PM,0,0,0
Monday 21/03/2016 10:00:00 PM,0,0,0
Monday 21/03/2016 10:15:00 PM,0,0,0
Monday 21/03/2016 10:30:00 PM,0,0,0
Monday 21/03/2016 10:45:00 PM,0,0,0
Monday 21/03/2016 11:00:00 PM,0,0,0
Monday 21/03/2016 11:15:00 PM,0,0,0
Monday 21/03/2016 11:30:00 PM,0,0,0
Monday 21/03/2016 11:45:00 PM,0,0,0
Tuesday 22/03/2016 12:00:00 AM,0,0,0
Tuesday 22/03/2016 12:15:00 AM,0,0,0
Tuesday 22/03/2016 12:30:00 AM,0,0,0
Tuesday 22/03/2016 12:45:00 AM,0,0,0
Tuesday 22/03/2016 01:00:00 AM,0,10,0
Tuesday 22/03/2016 01:15:00 AM,0,0,0
Tuesday 22/03/2016 01:30:00 AM,0,0,0
Tuesday 22/03/2016 01:45:00 AM,0,0,0
Tuesday 22/03/2016 02:00:00 AM,0,0,0
Tuesday 22/03/2016 02:15:00 AM,0,0,0
Tuesday 22/03/2016 02:30:00 AM,0,0,0
Tuesday 22/03/2016 02:45:00 AM,0,0,0
Tuesday 22/03/2016 03:00:00 AM,0,0,0
Tuesday 22/03/2016 03:15:00 AM,0,0,0
Tuesday 22/03/2016 03:30:00 AM,0,0,0
Tuesday 22/03/2016 03:45:00 AM,0,0,0
Tuesday 22/03/2016 04:00:00 AM,0,0,0
Tuesday 22/03/2016 04:15:00 AM,0,0,0
Tuesday 22/03/2016 04:30:00 AM,0,0,0
Tuesday 22/03/2016 04:45:00 AM,0,0,0
Tuesday 22/03/2016 05:00:00 AM,0,0,0
Tuesday 22/03/2016 05:15:00 AM,0,0,0
Tuesday 22/03/2016 05:30:00 AM,0,0,0
Tuesday 22/03/2016 05:45:00 AM,0,0,0
Tuesday 22/03/2016 06:00:00 AM,0,0,0
Tuesday 22/03/2016 06:15:00 AM,0,0,0
Tuesday 22/03/2016 06:30:00 AM,0,0,0
Tuesday 22/03/2016 06:45:00 AM,0,0,0
Tuesday 22/03/2016 07:00:00 AM,0,0,0
Tuesday 22/03/2016 07:15:00 AM,0,0,0
Tuesday 22/03/2016 07:30:00 AM,0,0,0
Tuesday 22/03/2016 07:45:00 AM,0,0,30
Tuesday 22/03/2016 08:00:00 AM,0,0,210
Tuesday 22/03/2016 08:15:00 AM,0,0,260
Tuesday 22/03/2016 08:30:00 AM,0,0,240
Tuesday 22/03/2016 08:45:00 AM,0,0,250
Tuesday 22/03/2016 09:00:00 AM,0,10,320
Tuesday 22/03/2016 09:15:00 AM,0,0,270
Tuesday 22/03/2016 09:30:00 AM,0,0,240
Tuesday 22/03/2016 09:45:00 AM,0,0,250
Tuesday 22/03/2016 10:00:00 AM,0,0,250
Tuesday 22/03/2016 10:15:00 AM,0,0,0
Tuesday 22/03/2016 10:30:00 AM,0,0,0
Tuesday 22/03/2016 10:45:00 AM,0,0,0
Tuesday 22/03/2016 11:00:00 AM,0,0,0
Tuesday 22/03/2016 11:15:00 AM,0,0,0
Tuesday 22/03/2016 11:30:00 AM,0,0,0
Tuesday 22/03/2016 11:45:00 AM,0,0,0
Tuesday 22/03/2016 12:00:00 PM,0,0,0
Tuesday 22/03/2016 12:15:00 PM,0,0,0
Tuesday 22/03/2016 12:30:00 PM,0,0,0
Tuesday 22/03/2016 12:45:00 PM,0,10,0
Tuesday 22/03/2016 01:00:00 PM,0,0,0
Tuesday 22/03/2016 01:15:00 PM,0,0,0
Tuesday 22/03/2016 01:30:00 PM,0,0,0
Tuesday 22/03/2016 01:45:00 PM,0,0,50
Tuesday 22/03/2016 02:00:00 PM,0,0,60
Tuesday 22/03/2016 02:15:00 PM,0,0,70
Tuesday 22/03/2016 02:30:00 PM,0,0,60
Tuesday 22/03/2016 02:45:00 PM,0,10,60
Tuesday 22/03/2016 03:00:00 PM,0,0,60
Tuesday 22/03/2016 03:15:00 PM,0,0,60
Tuesday 22/03/2016 03:30:00 PM,0,0,10
Tuesday 22/03/2016 03:45:00 PM,0,10,0
Tuesday 22/03/2016 04:00:00 PM,0,0,0
Tuesday 22/03/2016 04:15:00 PM,0,0,0
Tuesday 22/03/2016 04:30:00 PM,0,0,0
Tuesday 22/03/2016 04:45:00 PM,0,0,0
Tuesday 22/03/2016 05:00:00 PM,0,0,0
Tuesday 22/03/2016 05:15:00 PM,0,0,0
Tuesday 22/03/2016 05:30:00 PM,0,20,0
Tuesday 22/03/2016 05:45:00 PM,0,10,0
Tuesday 22/03/2016 06:00:00 PM,0,10,0
Tuesday 22/03/2016 06:15:00 PM,0,10,0
Tuesday 22/03/2016 06:30:00 PM,0,0,0
Tuesday 22/03/2016 06:45:00 PM,0,10,0
Tuesday 22/03/2016 07:00:00 PM,0,10,0
Tuesday 22/03/2016 07:15:00 PM,0,10,0
Tuesday 22/03/2016 07:30:00 PM,0,10,0
Tuesday 22/03/2016 07:45:00 PM,0,0,0
Tuesday 22/03/2016 08:00:00 PM,0,10,0
Tuesday 22/03/2016 08:15:00 PM,0,0,0
Tuesday 22/03/2016 08:30:00 PM,0,0,0
Tuesday 22/03/2016 08:45:00 PM,0,0,0
Tuesday 22/03/2016 09:00:00 PM,0,0,0
Tuesday 22/03/2016 09:15:00 PM,0,0,0
Tuesday 22/03/2016 09:30:00 PM,0,0,0
Tuesday 22/03/2016 09:45:00 PM,0,10,0
Tuesday 22/03/2016 10:00:00 PM,0,0,0
Tuesday 22/03/2016 10:15:00 PM,0,0,0
Tuesday 22/03/2016 10:30:00 PM,0,0,10
Tuesday 22/03/2016 10:45:00 PM,0,0,230
Tuesday 22/03/2016 11:00:00 PM,0,0,250
Tuesday 22/03/2016 11:15:00 PM,0,10,390
Tuesday 22/03/2016 11:30:00 PM,0,0,300
Tuesday 22/03/2016 11:45:00 PM,0,0,370
Wednesday 23/03/2016 12:00:00 AM,0,0,420
Wednesday 23/03/2016 12:15:00 AM,0,0,430
Wednesday 23/03/2016 12:30:00 AM,0,10,470
Wednesday 23/03/2016 12:45:00 AM,0,0,470
Wednesday 23/03/2016 01:00:00 AM,0,0,470
Wednesday 23/03/2016 01:15:00 AM,0,0,480
Wednesday 23/03/2016 01:30:00 AM,0,0,430
Wednesday 23/03/2016 01:45:00 AM,0,10,420
Wednesday 23/03/2016 02:00:00 AM,0,0,430
Wednesday 23/03/2016 02:15:00 AM,0,0,440
Wednesday 23/03/2016 02:30:00 AM,0,20,510
